filename,total_replacements,status,error
Account\index.jsx,104,SUCCESS,
AdminDashboard\index.jsx,269,SUCCESS,
Auth\index.jsx,122,SUCCESS,
BrowseCards\index.jsx,246,SUCCESS,
Cart\index.jsx,147,SUCCESS,
Chat\AdminSupport.jsx,85,SUCCESS,
Checkout\index.jsx,99,SUCCESS,
Dashboard\index.jsx,341,SUCCESS,
GlobalSettings\index.jsx,198,SUCCESS,
Home\index.jsx,104,SUCCESS,
ManageInvoices\index.jsx,118,SUCCESS,
ManagePackages\index.jsx,190,SUCCESS,
MyDatasets\index.jsx,284,SUCCESS,
OrderHistory\index.jsx,208,SUCCESS,
SiteCustomization\index.jsx,99,SUCCESS,
Wallet\index.jsx,55,SUCCESS,
